Intensity    Wavelength (Å)    Spectrum  Reference
   90          6186.173        Ce I      BWCC91              
   25   c,w    6188.13         Eu I      MCS75               
  120          6191.720        Y  I      P77                 
   80          6192.66         Tc I      BMC67               
  500          6192.798        Pu I      BFG84               
  150          6194.07         Xe II     H39                 
   13          6195.07         Eu I      MCS75               
   10          6198.26         Xe I      HM33                
   60          6199.024        P  I      S80                 
   11   c      6199.08         Rb II     R75                 
   40          6199.191        V  I      DA78                
  300   P      6200.30         Ra I      R34b                
  400          6201.463        Al II     KM91b               
    1   c      6206.309        Rb I      B59                 
   90          6208.985        Ce I      BWCC91              
   25          6210.66         Sc I      AV77                
   15          6213.10         Cs I      K62b                
   40          6214.5778       Zn II     GL00                
  300          6216.35         Pa I      BW92b               
   40          6216.370        V  I      DA78                
  500          6216.939        Cu II     R69                 
  100   P      6217.2812       Ne I      SS04                
    3          6217.60         Cs I      K62b                
  500          6219.844        Cu II     R69                 
   25   P      6221.019        Er I      M64b                
  120   P      6221.87         Lu II     MCS75               
   30          6222.579        Y  I      P77                 
   15   w      6228.3          In II     PC38                
   90          6228.936        Ce I      M75c                
   50          6229.64         Pm I      RCWM80              
   40          6230.803        V  I      DA78                
   40          6237.320        Si I      RA65                
  130   P      6239.651        F  I      L49                 
   14          6239.80         Sc I      AV77                
  100          6242.83         Ac II     MFT57               
   60          6243.110        V  I      DA78                
    8          6243.120        Ar II     N73                 
 1000          6243.35         Cm I      WHGC76              
  400   P      6243.36         Al II     KM91b               
   30          6243.813        Si I      RA65                
   60   c      6244.18         Tc I      BMC67               
   30          6244.468        Si I      RA65                
   50          6247.56         Fe II     RMW44               
 1000   P      6249.93         La I      MCS75               
   25          6251.823        V  I      DA78                
   40          6254.188        Si I      RA65                
   50          6258.099        Ti I      F91                 
   50          6258.705        Ti I      F91                 
   11          6258.90         Sc I      AV77                
   15          6259.087        Dy I      NG00                
   40          6261.096        Ti I      F91                 
   20          6262.25         Eu I      MCS75               
  100   P      6266.4950       Ne I      SS04                
  150          6270.82         Xe II     H39                 
   13          6272.024        Ce II     C73                 
  700          6273.349        Cu II     R69                 
  130          6277.54         Xe II     H39                 
   50   P      6278.170        Au I      ED71                
   30          6284.41         Xe II     H39                 
   10          6286.01         Xe I      HM33                
  100          6286.06         Pm I      RCWM80              
   90          6295.574        Ce I      BWCC91              
    1   c      6298.325        Rb I      B59                 
   15          6299.77         Eu I      MCS75               
   80          6300.86         Xe II     H39                 
  600          6301.009        Cu II     R69                 
    4          6303.41         Eu II     MCS75               
  800   P      6304.661        Pu I      BFG84               
   10          6304.7889       Ne I      SS04                
   15   w      6304.8          In II     PC38                
   30          6305.65         Sc I      AV77                
  250          6307.29         K  II     D26                 
   50          6308.29         Pm I      RCWM80              
   90          6310.013        Ce I      BWCC91              
   50          6318.06         Xe I      HM33                
    5          6318.37         Pt I      MCS75               
  120   c      6322.36         Pr I      MCS75               
  100          6323.84         Pm I      RCWM80              
    5          6326.58         Pt I      MCS75               
   30          6328.1646       Ne I      SS04                
 1000   P      6334.05         Ga II     IL85                
  100          6334.4278       Ne I      SS04                
  400          6335.701        Al II     KM91b               
  130          6343.96         Xe II     H39                 
   10          6346.742        Mg II     KM91a               
  130   P      6347.103        Si II     S61b                
  100   P      6348.508        F  I      L49                 
   11   c,w    6350.04         Eu I      MCS75               
  800          6350.73         Br I      T63                 
    5   c      6354.55         Cs I      K62b                
  400          6354.72         Cd II     SP49                
  200          6356.35         Xe II     H39                 
  300   l      6358.61         Pa I      BW92b               
  140   c      6359.03         Pr I      MCS75               
  300   P      6359.86         Ac I      MFT57               
  500          6359.98         Cd II     SP49                
   15   w      6362.3          In II     PC38                
   30   P      6362.3458       Zn I      GL00                
  100   P      6371.359        Si II     S61b                
   70          6375.28         Xe II     H39                 
 1000   P      6376.71         Cm I      WHGC76              
  500          6377.840        Cu II     R69                 
  300          6379.25         Pa I      BW92b               
  100   P      6382.9917       Ne I      SS04                
    1          6384.717        Ar I      N73                 
   50          6390.31         Pm I      RCWM80              
  110          6393.18         Pr I      MCS75               
  600   P      6394.23         La I      MCS75               
  100          6396.56         Ga I      JL67                
   30          6397.99         Xe II     H39                 
   11   c,w    6400.93         Eu I      MCS75               
  200   P      6402.248        Ne I      SS04                
  100   l      6405.11         Am I      FT57                
  140   P      6408.47         Sr I      MCS75               
   15          6410.04         Eu I      MCS75               
  300          6410.99         La I      MCS75               
  140          6411.23         Pr I      MCS75               
   13          6411.32         Eu I      MCS75               
   70          6413.45         Ga I      JL67                
   80          6413.651        F  I      L49                 
    2          6416.307        Ar I      N73                 
  900   P      6419.23         Ga II     IL85                
  100          6420.18         Kr II     DHM33               
   15          6421.0270       Kr I      K93                 
  600          6423.884        Cu II     R69                 
   90          6430.067        Ce I      M75c                
  100          6430.79         Ta I      MCS75               
  500   h      6431.93         Pm I      RCWM80              
  100          6435.022        Y  I      P77                 
   14          6437.64         Eu II     MCS75               
 1000   P      6438.470        Cd I      BA56                
  300   l      6438.97         Pa I      BW92b               
  700   P      6439.073        Ca I      R68                 
  800          6444.29         Se II     G62                 
  200          6446.20         Ra I      R34b                
  500          6448.559        Cu II     R69                 
  500          6449.744        Pu I      BFG84               
  600          6449.810        Ca I      R68                 
   80          6450.36         Ta I      MCS75               
   50   P      6453.542        Sn II     B64                 
  800   P      6455.89         Ga II     IL85                
  100          6455.90         Tc I      BMC67               
  130          6455.98         O  I      M75b                
  300          6455.99         La I      MCS75               
   30          6456.2889       Kr I      K93                 
  120          6456.38         Fe II     RMW44               
  300          6456.874        Ca II     ER56                
  100   P      6457.2824       Th I      PE83                
   11          6457.96         Eu I      MCS75               
   90          6458.031        Ce I      BWCC91              
  110   P      6458.33         Rb II     R75                 
  130   P      6459.99         P  II     M59                 
   20          6460.261        Tm I      SMC73               
   60   c      6461.93         Tc I      BMC67               
  700   P      6462.566        Ca I      R68                 
   80          6462.6131       Th I      PE83                
   60          6463.12         Lu II     MCS75               
  400          6464.94         Cd II     SP49                
   15   w      6469.0          In II     PC38                
   30          6469.70         Xe I      HM33                
  600          6470.168        Cu II     R69                 
  600          6471.660        Ca I      R68                 
   15          6472.84         Xe I      HM33                
  500          6481.437        Cu II     R69                 
   40   P      6482.05         N  II     M75a                
   90          6482.70         N  I      M75a                
    8          6483.082        Ar II     N73                 
  150          6485.37         Ta I      MCS75               
  120          6486.55         Pr I      MCS75               
  800   P      6486.707        Pu I      BFG84               
  200          6487.32         Ra I      R34b                
   12          6487.76         Xe I      HM33                
 1000   P      6488.853        Pu I      BFG84               
   20          6489.06         Yb I      MT78                
  110   h      6491.75         Pr I      MCS75               
  600   P      6493.780        Ca I      R68                 
   80          6495.53         Cs II     S81                 
  200   P      6496.898        Ba II     KL99                
   10          6498.72         Xe I      HM33                
  250   P      6498.760        Ba I      KL99                
  600          6499.649        Ca I      R68                 
  130   P      6503.46         P  II     M59                 
   80   P      6504.00         Sr I      MCS75               
   20   h      6504.18         Xe I      HM33                
  150   P      6506.5281       Ne I      SS04                
  130   P      6507.97         P  II     M59                 
  100          6512.83         Xe II     H39                 
   50          6514.21         Na II     W71                 
   50          6517.25         Pm I      RCWM80              
  300   P,d    6520.45         Pm I      RCWM80              
    6          6523.45         Pt I      MCS75               
  110   P      6527.312        Ba I      KL99                
   70          6528.65         Xe II     H39                 
   70          6530.70         Na II     W71                 
   80   h      6531.3418       Th I      PE83                
   10          6532.8822       Ne I      SS04                
   10          6533.16         Xe I      HM33                
  500          6535.271        Pu I      BFG84               
  100   w      6536.44         Cs II     S81                 
   12   c      6541.20         In II     PC38                
   50          6542.20         Pm I      RCWM80              
  200          6543.16         La I      MCS75               
   70          6544.04         Na II     W71                 
   50   l      6544.16         Am I      FT57                
  500          6544.207        Pu I      BFG84               
  250          6544.57         Br I      T63                 
   70          6545.75         Na II     W71                 
   11   d      6545.973        Mg II     KM91a               
   12          6547.89         Be II     J61a                
   25          6550.26         Sr I      MCS75               
 1000          6554.41         Cm I      WHGC76              
   11          6555.62         Rb II     R75                 
   80          6555.645        Ce I      BWCC91              
   12          6558.36         Be II     J61a                
  700   c      6559.80         Br I      T63                 
    8   c      6560.10         He II     GM65                
   60          6560.81         Rb II     R75                 
    9          6562.680        Au I      ED71                
   90   P      6562.7110       H  I      MK00a               
   30   P      6562.7248       H  I      MK00a               
  180   P      6562.8518       H  I      MK00a               
   50          6570.07         Kr II     DHM33               
  500   P      6572.777        Ca I      R68                 
  400   P      6578.05         C  II     MG93                
  200          6578.51         La I      MCS75               
  250          6582.17         Br I      T63                 
  300          6582.88         C  II     MG93                
    8          6586.51         Cs I      K62b                
  300          6595.01         Xe II     H39                 
  100   P      6595.325        Ba I      KL99                
   10          6595.56         Xe I      HM33                
  130          6597.25         Xe II     H39                 
  400   P      6598.15         Pm I      RCWM80              
   80          6598.66         Pm I      RCWM80              
   30          6598.84         Xe II     H39                 
  100   P      6598.9529       Ne I      SS04                
  400   h      6600.339        Bi II     DLW02               
   30   P      6604.91         Ho I      MZH78               
   70          6606.37         Pm I      RCWM80              
  500          6608.947        Pu I      BFG84               
   40   P      6610.56         N  II     M75a                
  140          6616.67         Pr I      MCS75               
   50          6617.26         Sr I      MCS75               
   70          6619.66         I  I      KC59                
 1000          6622.83         Cf I      RCWM80              
  500          6624.292        Cu II     R69                 
   80   w      6625.23         Pm I      RCWM80              
   50          6627.23         Rn I      R33                 
    2          6628.66         Cs I      EW70                
 1000          6631.26         Cf I      RCWM80              
  700   c      6631.62         Br I      T63                 
    8          6638.221        Ar II     N73                 
    7          6639.740        Ar II     N73                 
 1000          6640.17         Cm I      WHGC76              
  500          6641.396        Cu II     R69                 
   15          6643.698        Ar II     N73                 
   25          6645.11         Eu II     MCS75               
   90          6646.57         Cs II     S81                 
   70          6649.81         Pm I      RCWM80              
   15          6652.0927       Ne I      SS04                
  400          6659.05         Pm II     RCWM80              
  250   P,c    6660.20         Pb II     WRSH74              
   13   c,w    6660.84         Nb I      MCS75               
   50          6661.68         Pm I      RCWM80              
    8          6666.359        Ar II     N73                 
   80   c      6667.51         Pm I      RCWM80              
   10          6667.82         Yb I      MT78                
   15          6668.92         Xe I      HM33                
   50          6675.270        Ba I      KL99                
    3          6677.282        Ar I      N73                 
   70   h      6677.47         Pm I      RCWM80              
 1000          6677.90         Cf I      RCWM80              
  200   P      6678.1517       He I      M02                 
   50          6678.2762       Ne I      SS04                
  250          6682.28         Br I      T63                 
   12          6684.293        Ar II     N73                 
   50          6685.55         Pm I      RCWM80              
   50          6685.68         Pm I      RCWM80              
 1000          6686.87         Cm I      WHGC76              
   15          6687.571        Y  I      P77                 
   20          6690.481        F  I      L49                 
  200   P,l    6691.27         Ac I      MFT57               
  130          6692.13         Br I      T63                 
   50   P      6693.842        Ba I      KL99                
  100          6694.32         Xe II     H39                 
   40          6696.015        Al I      KM91b               
   10          6699.2296       Kr I      K93                 
   60          6700.33         Pm I      RCWM80              
   90          6704.272        Ce I      BWCC91              
 1000   P      6706.85         Cm I      WHGC76              
  500   P      6707.775        Li I      REB95               
 1000   P      6707.926        Li I      REB95               
    7          6710.42         Pt I      MCS75               
   70          6714.67         Pm I      RCWM80              
    7          6717.0430       Ne I      SS04                
   50          6717.26         Pm I      RCWM80              
  600          6717.685        Ca I      R68                 
   50          6720.71         Pm I      RCWM80              
   50   c      6723.28         Cs I      S81                 
  100          6724.47         Cs II     S81                 
  500          6725.78         Cd II     SP49                
 1000          6726.68         Cm I      WHGC76              
   70          6727.50         Pm I      RCWM80              
   20          6728.01         Xe I      HM33                
   60          6743.71         Pm I      RCWM80              
   90   c      6747.09         Pr I      MCS75               
   90          6749.91         Pm I      RCWM80              
   90          6750.48         Pm I      RCWM80              
   70          6751.81         Rn I      R33                 
    4          6752.834        Ar I      N73                 
   40          6757.16         S  I      KM93                
   13          6760.02         Pt I      MCS75               
  300          6772.29         Pm II     RCWM80              
   70          6773.984        F  I      L49                 
   30   l      6775.07         Rb II     R75                 
   50          6788.71         Xe II     H39                 
   30          6790.37         Xe II     H39                 
   30   P      6791.05         Sr I      MCS75               
  300   h      6792.75         Pa I      BW92b               
 1000          6793.15         Cm I      WHGC76              
   20          6793.704        Y  I      P77                 
   25          6794.58         Tb II     MCS75               
  140   c,w    6798.60         Pr I      MCS75               
   40   P      6799.60         Yb I      MT78                
   13          6802.72         Eu I      MCS75               
  300          6805.74         Xe II     H39                 
  500   h      6809.196        Bi II     DLW02               
  200          6812.57         I  II     MC60                
    3          6824.65         Cs I      EW70                
   30          6826.913        U  I      PKE80               
   20          6827.32         Xe I      HM33                
   80          6833.30         Pm I      RCWM80              
   90          6834.264        F  I      L49                 
   40          6842.60         Pt I      MCS75               
   30   P      6844.186        Sn II     B64                 
  500   P      6856.030        F  I      L49                 
    7          6861.269        Ar II     N73                 
   30          6864.54         Eu I      MCS75               
    9          6865.686        Ba I      KL99                
   80          6866.23         Ta I      MCS75               
   80          6870.215        F  I      L49                 
    5          6870.45         Cs I      EW70                
    4          6871.289        Ar I      N73                 
   10          6872.11         Xe I      HM33                
   70   P      6878.38         Sr I      MCS75               
   30          6882.16         Xe I      HM33                
  800   P      6887.710        Pu I      BFG84               
   20   P,w    6891.56         In II     PC38                
   20   P      6892.59         Sr I      MCS75               
 1000          6894.59         Cf I      RCWM80              
  150   P      6902.475        F  I      L49                 
   15          6904.6788       Kr I      K93                 
   60          6909.816        F  I      L49                 
   25          6910.22         Xe II     H39                 
  800          6911.08         K  I      R56                 
   80          6924.813        Ce I      BWCC91              
   10          6925.53         Xe I      HM33                
 1000   P      6927.10         Cf II     RCWM80              
 1000   P      6929.4673       Ne I      SS04                
  300   P,s    6930.31         Np I      FTBC76              
  500          6936.28         K  I      R56                 
    1          6937.664        Ar I      N73                 
  800          6938.77         K  I      R56                 
  250   h      6942.11         Xe II     H39                 
 1000   P      6945.72         Pa I      BW92b               
  400          6955.50         Cs II     S81                 
   50   s      6955.58         Am I      FT57                
  300          6960.09         Pa I      BW92b               
  300   h      6961.78         Pa I      BW92b               
  300          6964.18         K  I      R56                 
  500          6964.67         K  I      R56                 
  300   P      6965.431        Ar I      N73                 
   40          6966.349        F  I      L49                 
 1000   P,s    6972.09         Np I      FTBC76              
   80          6973.30         Cs I      K62b                
   10          6976.18         Xe I      HM33                
  150          6979.67         Cs II     S81                 
  200          6980.22         Ra I      R34b                
   10          6982.749        Be I      KM97                
   15          6983.49         Cs I      K62b                
   80          6986.015        Ce I      BWCC91              
   90   P      6989.6553       Th I      PE83                
  700          6990.88         Xe II     H39                 
  300   s      6992.73         Pa I      BW92b               
