Intensity    Wavelength (Å)    Spectrum  Reference
   90          4048.2876       Th I      PE83                
 1000          4048.29         Cm I      WHGC76              
  110          4048.666        Zr II     J98                 
   40          4048.747        Mn I      CMG64               
    8          4048.784        Cr I      K53                 
  500   c      4049.11         Tc I      BMC67               
  150          4049.43         Gd II     MCS75               
 1000          4049.65         Cm I      WHGC76              
  250   P      4049.86         Gd II     MCS75               
  300   P      4050.0412       U  II     PKE80               
   60          4050.476        Zr I      J98                 
   70          4050.566        Dy II     NG00                
  200          4050.8872       Th I      PE83                
   30          4050.955        V  I      DA78                
   90          4051.13         Pr II     MCS75               
  150          4051.15         Nd II     MCS75               
   30          4051.347        V  I      DA78                
  130          4051.402        Ru I      K59                 
  300          4051.54         Pm II     RCWM80              
    4          4052.283        Yb I      MT78                
   30          4052.921        Ar II     N73                 
   90          4053.29         Gd II     MCS75               
  200          4053.500        Ce II     C73                 
  500   P      4053.64         Gd I      MCS75               
  900   P      4053.87         Ho I      MZH78               
   60          4054.050        Ru I      K59                 
   90          4054.45         Lu I      MCS75               
   30          4054.48         Ho II     MCS75               
  250   P      4054.544        Sc I      AV77                
  150          4054.72         Gd I      MCS75               
  400          4054.860        Pr II     G90                 
   40          4055.011        Ti I      F91                 
  200          4055.027        Zr I      J98                 
  600   r      4055.20         Pm II     RCWM80              
   90          4055.465        Er II     M64b                
    9   h      4055.476        Ag I      PZ01                
   70          4055.548        Mn I      CMG64               
  150          4055.704        Zr I      J98                 
  300          4055.836        Ce I      M75c                
    9          4056.012        Mo I      WB88                
 1000   P,s    4056.20         Pa II     BW92b               
  400          4056.537        Pr II     G90                 
   10          4056.593        Sc I      AV77                
   25   w      4056.94         In II     PC38                
  100          4057.037        Kr II     HP70a               
   25          4057.064        V  I      DA78                
   70   l      4057.46         Xe II     H39                 
   30          4057.55         Ho I      MCS75               
 1000   P      4057.807        Pb I      WA68                
  500   P      4058.22         Gd I      MCS75               
   90          4058.800        Pr II     G90                 
   40          4058.936        Mn I      CMG64               
 1000   P,c    4058.94         Nb I      MCS75               
  250          4059.2529       Th I      PE83                
   40          4059.515        Er I      M64b                
   60          4059.779        Er II     M64b                
  140          4059.88         Gd I      MCS75               
  150          4059.96         Nd II     MCS75               
   50          4060.262        Ti I      F91                 
   25          4060.31         Ho I      MCS75               
  300   P      4060.33         La I      MCS75               
   20          4060.79         Nb I      MCS75               
  900   P      4061.09         Nd II     MCS75               
  150          4061.40         Ta I      MCS75               
   90          4061.523        Zr I      J98                 
  400   P      4061.558        Tb I      B01                 
  150   s      4061.60         Ac II     MFT57               
   25          4061.737        Mn I      CMG64               
   50          4062.077        Mo I      WB88                
   15   P      4062.136        Pb I      WA68                
  200          4062.5440       U  II     PKE80               
   70          4062.59         Gd II     MCS75               
  200          4062.64         Cu I      S48                 
  700*  P      4062.804        Pr II     G90                 
  700*  P      4062.806        Pr II     G90                 
  100          4062.84         Hf I      MCS75               
  200          4063.10         Ac I      MFT57               
  200          4063.39         Gd II     MCS75               
  400          4063.4071       Th I      PE83                
   25          4063.530        Mn I      CMG64               
  150          4063.5942       Fe I      NJLT94              
   20          4063.928        V  I      DA78                
  400          4064.151        Zr I      J98                 
   25          4064.209        Ti I      F91                 
   30          4064.456        Ru I      K59                 
  300*         4064.55         Sm II     RAVS90              
  300*         4064.57         Sm II     RAVS90              
   60          4065.068        Au I      ED71                
  110          4065.09         Ho II     MCS75               
   25          4065.095        Ti I      F91                 
  100          4065.128        Kr II     HP70a               
   30          4065.7046       Pt II     SRSA92              
   11          4065.9283       Pt I      SRSA92              
   30          4066.69         Os I      MCS75               
  200          4066.737        Sm II     K35                 
  120          4067.91         Ta I      MCS75               
   80          4068.05         Ho I      MCS75               
  110          4068.35         Gd I      MCS75               
   70          4068.367        Ru I      K59                 
   20          4068.78         Cs II     S81                 
   70          4069.2014       Th II     PE83                
  200          4069.28         Nd II     MCS75               
  150          4069.4612       Th I      PE83                
   80   P      4069.882        Mo I      WB88                
   80          4069.95         W  I      MCS75               
   11          4070.280        Mn I      CMG64               
   90*         4070.29         Gd II     MCS75               
   90*         4070.39         Gd II     MCS75               
 1000   P,s    4070.40         Pa II     BW92b               
   20          4071.536        V  I      DA78                
  120          4071.7380       Fe I      NJLT94              
  300          4071.773        Ce II     C73                 
   30          4071.83         Ho I      MCS75               
   70          4072.005        Ar II     N73                 
  250          4072.157        O  II     MKM93               
   25          4072.385        Ar II     N73                 
  600   P      4072.698        Zr I      J98                 
  110          4073.119        Dy II     NG00                
   30          4073.13         Ho I      MCS75               
   70          4073.20         Gd II     MCS75               
  500          4073.475        Ce II     C73                 
   30          4073.51         Ho I      MCS75               
  600   P      4074.36         W  I      MCS75               
   90          4074.925        Zr I      J98                 
  130          4075.12         Nd II     MCS75               
   90          4075.5030       Th I      PE83                
  400          4075.698        Ce II     C73                 
  600   P      4075.84         Pm II     RCWM80              
  400          4075.844        Ce II     C73                 
  200          4075.845        Sm II     K35                 
  400   P      4075.862        O  II     MKM93               
   60          4076.524        Zr I      J98                 
    8          4076.628        Ar II     N73                 
   90          4076.730        Ru I      K59                 
  300   P      4077.35         La II     MCS75               
  900   P      4077.359        Y  I      P77                 
 1000   P      4077.71         Sr II     MCS75               
   30          4077.880        Er I      M64b                
  300   P      4077.965        Dy II     NG00                
   70          4078.305        Zr I      J98                 
  150          4078.44         Gd II     MCS75               
  110          4078.470        Ti I      F91                 
  600   P      4078.70         Gd I      MCS75               
  400   h      4079.072        Bi II     DLW02               
   25          4079.241        Mn I      CMG64               
   25          4079.415        Mn I      CMG64               
   12          4079.574        Ar II     N73                 
  800   P      4079.73         Nb I      MCS75               
  100   c      4079.77         Pr II     MCS75               
  500          4080.599        Ru I      K59                 
  100   c      4080.980        Pr II     G90                 
  600   P      4081.209        Zr I      J98                 
  200          4081.219        Ce II     C73                 
   50          4081.243        Er II     M64b                
  200          4081.3678       Th I      PE83                
   40          4081.44         Mo I      MCS75               
    9   c      4081.4669       Pt I      SRSA92              
  150          4081.85         Pr II     MCS75               
 1000   s      4082.24         Es        WLGC74              
    8          4082.387        Ar II     N73                 
  250   P      4082.387        Sc I      AV77                
   40          4082.455        Ti I      F91                 
   60          4082.78         Rh I      MCS75               
   40          4082.945        Mn I      CMG64               
  250          4083.219        Ce II     C73                 
  100          4083.341        Pr II     G90                 
   40          4083.634        Mn I      CMG64               
   25          4083.67         Ho I      MCS75               
  110          4083.70         Gd I      MCS75               
  200          4083.705        Y  I      P77                 
   30   c      4083.88         Rb II     R75                 
   30          4084.373        Mo I      WB88                
   15          4084.86         Nb I      MCS75               
   25          4085.336        Dy I      NG00                
  140          4085.4341       Th I      PE83                
  150          4085.56         Gd II     MCS75               
  500   P      4086.10         Pm II     RCWM80              
  150          4086.5205       Th II     PE83                
  600   P      4086.72         La II     MCS75               
   15          4087.150        Sc I      AV77                
  250   P      4087.632        Er I      M64b                
  150          4088.337        Kr II     HP70a               
 1000   P,s    4088.44         Ac II     MFT57               
  500          4088.71         Tc I      BMC67               
  120          4088.7264       Th I      PE83                
 1000   P,s    4089.291        Am II     FT57                
  250          4089.61         La I      MCS75               
   25          4089.68         Yb I      MT78                
  400   P      4090.1319       U  II     PKE80               
  140          4090.41         Gd I      MCS75               
   90          4090.571        V  I      DA78                
   13          4092.2522       Pt I      SRSA92              
  250          4092.266        Sm II     K35                 
  150          4092.684        V  I      DA78                
  250          4092.71         Gd I      MCS75               
   60   P      4093.16         Hf II     MCS75               
 1000   P      4094.187        Tm I      SMC73               
  150          4094.7470       Th II     PE83                
   70          4095.477        V  I      DA78                
  700   P      4095.67         Tc I      BMC67               
   25          4096.100        Dy I      NG00                
  110          4096.820        Pr II     G90                 
   80          4097.787        Ru I      K59                 
   80          4098.099        Er I      M64b                
   70          4098.400        Pr II     G90                 
  300   P      4098.61         Gd II     MCS75               
   80          4098.729        Kr II     HP70a               
   30   h      4098.89         Xe II     H39                 
 1000          4099.12         Cf I      RCWM80              
  250          4099.784        V  I      DA78                
   25          4100.22         Ho I      MCS75               
  140          4100.26         Gd I      MCS75               
  250          4100.3414       Th I      PE83                
   30          4100.40         Nb I      MCS75               
  600   P,c    4100.717        Pr II     G90                 
  400   P      4100.92         Nb I      MCS75               
   15          4101.74         H  I      RCWM80              
  900   P      4101.7504       In I      DMZ53               
   50          4102.151        V  I      DA78                
 1000   P      4102.364        Y  I      P77                 
  120          4102.70         W  I      MCS75               
  200          4103.074        F  II     P69                 
  150          4103.216        F  II     P69                 
  200   P      4103.305        Dy II     NG00                
  200          4103.508        F  II     P69                 
  200          4103.710        F  II     P69                 
 1000   P      4103.80         Ho I      MZH78               
  150          4103.870        F  II     P69                 
   50          4103.874        Dy I      NG00                
   50          4103.912        Ar II     N73                 
   20   c      4104.28         Rb II     R75                 
   20          4104.382        V  I      DA78                
   20          4104.767        V  I      DA78                
  250          4105.155        V  I      DA78                
 1000   P      4105.841        Tm I      SMC73               
    6          4106.384        Y  I      P77                 
   30          4106.50         Ho I      MCS75               
  200*         4107.277        Sm II     K35                 
  200*         4107.387        Sm II     K35                 
   25          4107.462        Mo I      WB88                
  300   l      4107.59         Es        WLGC74              
   60          4108.394        Zr I      J98                 
  200          4108.4198       Th II     PE83                
  300   P      4108.62         Ho I      MZH78               
  250          4109.08         Nd II     MCS75               
   30          4109.248        Kr II     HP70a               
  500   P      4109.46         Nd II     MCS75               
  200          4109.778        V  I      DA78                
   50          4110.22         Tc I      BMC67               
   90          4110.48         Nd II     MCS75               
   70          4111.340        Dy II     NG00                
  700   P      4111.780        V  I      DA78                
   30          4112.00         Ho I      MCS75               
   40          4112.02         Os I      MCS75               
   30          4112.708        Ti I      F91                 
  150          4112.741        Ru I      K59                 
  400   P      4112.7545       Th I      PE83                
 1000          4113.29         Cm I      WHGC76              
   20          4113.506        V  I      DA78                
  150          4113.70         Na II     W71                 
  500          4115.08         Tc I      BMC67               
  400   P      4115.180        V  I      DA78                
  500   P      4115.7589       Th I      PE83                
  150          4116.0974       U  II     PKE80               
   25          4116.361        Er I      M64b                
  150          4116.473        V  I      DA78                
  250   P      4116.7137       Th II     PE83                
   30          4116.73         Ho I      MCS75               
   20          4116.90         Nb I      MCS75               
  300          4117.62         Pa I      BW92b               
  200          4118.141        Ce II     C73                 
  300   c      4118.457        Pr II     G90                 
   25          4118.546        Er I      M64b                
  500          4118.551        Sm II     K35                 
   60          4118.6745       Pt I      SRSA92              
  130          4118.774        Co I      PT96                
  250          4119.215        O  II     MKM93               
   30          4119.27         Tc I      BMC67               
   20          4119.446        V  I      DA78                
    7   h      4119.464        Yb II     M67                 
   20          4120.093        Mo I      WB88                
  150          4120.20         Ho I      MCS75               
   12          4120.82         He I      M60a                
    2          4120.99         He I      M60a                
  200          4121.318        Co I      PT96                
  120          4121.68         Rh I      MCS75               
  300          4121.933        B  II     O70                 
  500   P      4123.23         La II     MCS75               
  150          4123.503        V  I      DA78                
  300   P      4123.81         Nb I      MCS75               
  300          4123.873        Ce II     C73                 
  400          4124.22         Tc I      BMC67               
  400   P      4124.73         Lu I      MCS75               
  150          4125.65         Ho I      MCS75               
    7          4126.513        Cr I      K53                 
  500   P      4127.16         Ho I      MZH78               
  300          4127.371        Ce II     C73                 
  300          4127.4120       Th I      PE83                
  250   P      4128.064        V  I      DA78                
   50   P,h    4128.067        Si II     S61b                
   50          4128.27         Tc I      BMC67               
  900   P      4128.299        Y  I      P77                 
  150          4128.87         Rh I      MCS75               
   40          4129.423        Dy II     NG00                
   40          4129.43         Nb I      MCS75               
  600   P,c,w  4129.70         Eu II     MCS75               
 1000          4129.71         Cm I      WHGC76              
   50          4129.93         Nb I      MCS75               
   20          4130.352        Dy I      NG00                
  250   P      4130.37         Gd II     MCS75               
   25   P      4130.649        Ba II     KL99                
   70          4130.771        Pr II     G90                 
   70   P,h    4130.893        Si II     S61b                
  200          4131.0021       Th I      PE83                
   40          4131.504        Er I      M64b                
  100          4131.724        Ar II     N73                 
  250   P      4131.989        V  I      DA78                
   40          4132.0581       Fe I      NJLT94              
  130          4132.28         Gd II     MCS75               
    9          4132.427        Ba I      KL99                
   60   P,h    4132.498        Cl II     RK74                
    2*         4132.624        Li I      REB95               
    2*         4132.625        Li I      REB95               
   80          4132.7533       Th II     PE83                
   20   h      4132.984        Sc I      AV77                
  500          4133.005        Pu I      BFG84               
  800   P      4133.802        Ce II     C73                 
   25          4133.850        Dy I      NG00                
  300          4134.0681       Th I      PE83                
  150          4134.16         Gd I      MCS75               
  200          4134.485        V  I      DA78                
   30          4134.54         Ho I      MCS75               
  250          4134.72         K  II     D26                 
  200          4134.768        Cd II     SP49                
  200          4135.27         Rh I      MCS75               
   90          4135.33         Nd II     MCS75               
   90          4135.78         Os I      MCS75               
   20   c      4136.11         Rb II     R75                 
  150          4136.22         Ho I      MCS75               
   30          4136.45         Re I      MCS75               
  140          4137.10         Nb I      MCS75               
   60          4137.46         W  I      MCS75               
  600   P      4137.649        Ce II     C73                 
  110          4138.334        Tm I      SMC73               
   30          4139.44         Nb I      MCS75               
  150          4139.71         Nb I      MCS75               
   40          4139.85         Tc I      BMC67               
  500          4140.041        Pu I      BFG84               
   25   h      4140.272        Sc I      AV77                
   10   s      4140.959        Am I      FT57                
  300   c      4141.224        Pr II     G90                 
   25          4142.19         Ho I      MCS75               
  200          4142.397        Ce II     C73                 
  800   P      4142.841        Y  I      P77                 
   50          4142.914        Er II     M64b                
   50          4143.100        Dy II     NG00                
  500   P      4143.112        Pr II     G90                 
   20          4143.21         Nb I      MCS75               
  100          4143.55         Mo I      MCS75               
    3          4143.76         He I      M60a                
   80          4143.8682       Fe I      NJLT94              
  200          4144.160        Ru I      K59                 
   13          4144.36         Re I      MCS75               
  200          4144.412        Tb II     B01                 
  300          4144.95         Tc I      BMC67               
  200          4144.996        Ce II     C73                 
  150          4145.08         Tc I      BMC67               
   80          4145.122        Kr II     HP70a               
   60          4145.737        Ru I      K59                 
   60          4146.060        Dy I      NG00                
 1000   l      4147.134        Bk II     WC78                
   30          4148.97         Ho I      MCS75               
   25          4149.066        Yb I      MT78                
  250          4149.19         K  II     D26                 
  200   P      4149.198        Zr II     J98                 
  200          4149.831        Sm II     K35                 
  300          4149.895        Ce II     C73                 
  110          4149.9870       Th II     PE83                
   50          4150.12         Nb I      MCS75               
  500          4151.091        Pu I      BFG84               
  500   P      4151.108        Er I      M64b                
  500          4151.443        Pu I      BFG84               
  400          4151.969        Ce II     C73                 
  120          4151.97         La II     MCS75               
  300          4152.209        Sm II     K35                 
   30          4152.341        Sc I      AV77                
  300   P      4152.58         Nb I      MCS75               
   60   c,w    4152.61         Ho II     MCS75               
   60          4152.640        Zr I      J98                 
   50          4152.82         Pb II     WRSH74              
  200          4153.064        S  II     KM93                
  300   P      4153.9710       U  I      PKE80               
   60          4154.08         Lu I      MCS75               
   25          4154.37         Rh I      MCS75               
   10          4155.946        Li II     DM01                
  600   P      4156.08         Nd II     MCS75               
   12          4156.086        Ar II     N73                 
   90          4156.26         Nd II     MCS75               
  120   P      4156.6483       U  I      PKE80               
   70   l      4158.04         Xe II     H39                 
  200          4158.5352       Th I      PE83                
   11          4158.590        Ar I      N73                 
   70          4161.200        Zr II     J98                 
    4          4161.80         Sr II     MCS75               
  250          4162.665        S  II     KM93                
  900   P      4163.03         Ho I      MZH78               
   50          4163.47         Nb I      MCS75               
    7          4163.627        Cr I      K53                 
  300   P      4163.66         Nb I      MCS75               
  300   c      4164.156        Pr II     G90                 
    1          4164.180        Ar I      N73                 
   50          4164.5491       Pt I      SRSA92              
  250   P      4164.66         Nb I      MCS75               
   50   h      4165.187        Sc I      AV77                
  400          4165.600        Ce II     C73                 
  500          4165.61         Tc I      BMC67               
  250          4165.7661       Th I      PE83                
    3          4166.001        Ba II     KL99                
  110          4166.366        Zr I      J98                 
  200          4166.881        Ce II     C73                 
    2          4167.271        Mg I      KM91a               
  250          4167.513        Y  I      P77                 
   80          4167.514        Ru I      K59                 
  400   P      4167.974        Dy I      NG00                
    4          4168.033        Pb I      WA68                
  200   P      4168.13         Nb I      MCS75               
  700   P,s    4168.40         Ac II     MFT57               
  200          4169.478        Sm II     K35                 
   50          4169.68         Tc I      BMC67               
  500          4169.77         Te II     HM64                
  200          4170.27         Tc I      BMC67               
  500   P      4170.52         Po I      C66a                
   50          4171.17         W  I      MCS75               
  300   P      4171.5886       U  II     PKE80               
  120          4171.822        Pr II     G90                 
   25          4171.931        Dy I      NG00                
 1000   P      4172.042        Ga I      JL67                
  140          4172.246        Pr II     G90                 
  250          4172.53         Tc I      BMC67               
  300   P      4173.20         Ho I      MZH78               
   40          4173.23         Os I      MCS75               
  200          4174.133        Y  I      P77                 
  500   P      4174.34         Hf I      MCS75               
    7          4174.56         Yb I      MT78                
    8          4174.808        Cr I      K53                 
  800          4175.28         Se II     G62                 
  500   P      4175.54         Gd I      MCS75               
  150          4175.61         Nd II     MCS75               
   20          4175.63         Os I      MCS75               
  300   l      4176.18         Pa II     BW92b               
   50          4176.28         Tc I      BMC67               
  100   l      4176.94         Es I      WLGC74              
  400   P      4177.32         Nd II     MCS75               
  600   P      4177.528        Y  II     NJK91               
  150          4178.0597       Th II     PE83                
    8          4179.27         Cr I      K53                 
   12          4179.297        Ar II     N73                 
 1000   P      4179.391        Pr II     G90                 
   20          4179.408        V  I      DA78                
  120          4179.59         Nd II     MCS75               
 1000   P      4179.98         Ac I      MFT57               
  300   h      4180.10         Xe II     H39                 
   20          4180.809        Yb II     M67                 
 1000   P      4180.90         Se II     G62                 
    1          4181.884        Ar I      N73                 
   10          4182.22         Eu I      MCS75               
  500   P      4183.12         Ac I      MFT57               
   60          4183.721        Dy I      NG00                
  300   P      4184.25         Gd II     MCS75               
   90          4184.25         Lu II     MCS75               
   20          4184.44         Nb I      MCS75               
  250          4185.449        O  II     MKM93               
   15          4185.819        Mo I      WB88                
   50          4186.117        Ti I      F91                 
  250          4186.24         K  II     D26                 
   40          4186.51         Tc I      BMC67               
 1000   P      4186.596        Ce II     C73                 
  800   P      4186.821        Dy I      NG00                
  400   P      4187.32         La I      MCS75               
  200          4187.559        Zr I      J98                 
  900   P      4187.615        Tm I      SMC73               
  200   s      4188.121        Am II     FT57                
  250          4188.128        Sm II     K35                 
   90   P      4188.324        Mo I      WB88                
  500   P      4189.479        Pr II     G90                 
 1000   P,s    4189.692        Bk II     WC78                
  400          4189.789        O  II     MKM93               
  700          4190.082        As II     LA71                
   70          4190.697        Er I      M64b                
    3          4190.713        Ar I      N73                 
  500   P      4190.78         Gd I      MCS75               
   80          4190.88         Nb I      MCS75               
    1          4191.029        Ar I      N73                 
   90          4191.07         Gd II     MCS75               
  110   c      4191.605        Pr II     G90                 
  150          4191.63         Gd I      MCS75               
  140   P      4191.640        Dy I      NG00                
   50          4192.07         Nb I      MCS75               
   25          4192.4231       Pt I      SRSA92              
  300          4192.92         Pm II     RCWM80              
  200          4193.0164       Th I      PE83                
   40          4193.08         Rb II     R75                 
  150   h      4193.15         Xe II     H39                 
   60          4194.35         Ho I      MCS75               
  400   P      4194.40         Ac I      MFT57               
  110          4194.760        Zr I      J98                 
  110          4194.792        B  II     O70                 
  400   P      4194.846        Dy I      NG00                
   50          4195.09         Nb I      MCS75               
   80          4195.66         Nb I      MCS75               
  200          4196.330        Ce II     C73                 
   40          4196.50         Rh I      MCS75               
  150          4196.55         La II     MCS75               
 1000   P,s    4197.441        Bk II     WC78                
   50          4197.572        Ru I      K59                 
   50          4198.015        Dy I      NG00                
    6          4198.317        Ar I      N73                 
   20          4198.51         Nb I      MCS75               
  250          4198.715        Ce II     C73                 
   50          4198.864        Ru I      K59                 
  700   P      4199.892        Ru I      K59                 
   60          4199.92         Tm II     MCS75               
   11          4200.674        Ar I      N73                 
   60          4201.17         Pr II     MCS75               
   40          4201.301        Dy I      NG00                
  150          4201.451        Zr I      J98                 
   20          4201.52         Nb I      MCS75               
   11   P      4201.80         Rb I      RE80                
   30          4202.0293       Fe I      NJLT94              
   40          4202.240        Dy I      NG00                
  250*         4202.926        Ce II     C73                 
  250*         4202.956        Ce II     C73                 
  250          4203.051        Sm II     K35                 
  600   P      4203.727        Tm I      SMC73               
  200          4203.749        Tb I      B01                 
   70          4204.86         Gd II     MCS75               
 1000   P,c,w  4205.05         Eu II     MCS75               
   50          4205.31         Nb I      MCS75               
  120          4205.88         Ta I      MCS75               
  140          4206.020        Ru I      K59                 
 1000   P      4206.481        Pu I      BFG84               
  500   P,c    4206.719        Pr II     G90                 
 1000   P      4207.66         Cm II     WHGC76              
  500          4208.234        Pu I      BFG84               
  100          4208.315        Pr II     G90                 
  100   h      4208.48         Xe II     H39                 
  150          4208.8907       Th II     PE83                
  110          4208.980        Zr II     J98                 
   30   h      4209.47         Xe II     H39                 
  100   s      4209.69         Ac II     MFT57               
   20          4209.853        V  I      DA78                
  200          4210.9232       Th I      PE83                
    8   h      4210.960        Ag I      PZ01                
  400          4211.14         Rh I      MCS75               
   30          4211.238        Dy I      NG00                
 1000   P      4211.62         Cm I      WHGC76              
 1000   P      4211.714        Dy I      NG00                
   40          4211.86         Os I      MCS75               
   60          4211.862        Pr II     G90                 
  150          4212.00         Gd II     MCS75               
  500          4212.062        Ru I      K59                 
    9          4212.814        Ag I      PZ01                
  100          4212.9537       Pd I      ELLW98              
   20          4213.14         Cs II     S81                 
  110          4213.180        Dy I      NG00                
