element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cs,1,"=""615.038""","=""0.002""","=""615.03846""","=""0.00004""","=""""","=""""",,"=""14499.2568""","=""30753.90406""","=""5p6.5d""","=""2D""","=""3/2""","=""5p6.13f""","=""2F*""","=""5/2""",,"=""""","=""L3506""",
Cu,2,"=""615.03818""","=""0.00009""","=""615.03813""","=""0.00006""","=""16000""","=""3.6e+07""",D+,"=""120789.80865""","=""137044.4647""","=""3d9.(2D<5/2>).5p""","=""2[7/2]*""","=""4""","=""3d9.(2D<5/2>).5d""","=""2[7/2]""","=""4""",,"=""T9697""","=""L19804c168""",
Kr,2,"=""615.054""","=""""","=""615.053+""","=""""","=""1h""","=""""",,"=""133923.859""","=""150178.13""","=""4s2.4p4.(3P).5p""","=""4P*""","=""5/2""","=""4s2.4p4.(1D).4d""","=""2D""","=""3/2""",,"=""""","=""L7386""",
Ti,1,"=""615.0634""","=""0.0005""","=""615.06352""","=""0.00019""","=""3""","=""""",,"=""25227.222""","=""41481.207""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""3""","=""3d2.4s.(2F).5s""","=""3F""","=""4""",,"=""""","=""L10989""",
Cs,3,"=""615.0637""","=""0.0002""","=""615.0637""","=""0.0004""","=""250000""","=""2.19e+08""",,"=""211545.853""","=""227799.834""","=""5s2.5p4.(3P<2>).5f""","=""2[5]*""","=""11/2""","=""5s2.5p4.(3P<2>).5g""","=""2[6]""","=""13/2""",,"=""T8611""","=""L14869""",
Th,1,"=""615.06825""","=""0.00003""","=""615.068302""","=""0.000004""","=""500""","=""""",,"=""11241.73043""","=""27495.58911""","=""5f.6d.7s2""","=""3F*""","=""3""","=""5f2.7s2""","=""3H""","=""4""",,"=""""","=""L18702""",
N,2,"=""""","=""""","=""615.075""","=""""","=""""","=""2.89e+06""",C+,"=""186511.58""","=""202765.26""","=""2s2.2p.3d""","=""3F*""","=""2""","=""2s2.2p.4p""","=""3D""","=""2""",,"=""T6385n""","=""""",
Th,1,"=""615.1142""","=""0.0004""","=""615.114256""","=""0.000023""","=""11""","=""""",,"=""20522.71449""","=""36775.3589""","=""6d2.7s.7p""","=""3F*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Ra,1,"=""615.119""","=""0.005""","=""615.1137""","=""0.0019""","=""3""","=""""",,"=""16688.54""","=""32941.20""","=""7s.7p""","=""3P*""","=""2""","=""7p2?""","=""3P""","=""2""",,"=""""","=""L3527""",
Sc,1,"=""615.119""","=""0.002""","=""615.1201""","=""0.0005""","=""3""","=""""",,"=""20681.410""","=""36933.899""","=""3d2.(3P).4s""","=""2P""","=""1/2""","=""3d2.(1D).4p""","=""2D*""","=""3/2""",,"=""""","=""L4189c12""",
Cs,2,"=""615.11905""","=""0.00005""","=""615.11882""","=""0.00005""","=""6500""","=""""",,"=""156822.8269""","=""173075.3506""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""",,"=""""","=""L12126""",
Kr,1,"=""615.140667""","=""""","=""615.14067+""","=""""","=""20""","=""""",,"=""93123.3409""","=""109375.2875""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L11281""",
C,2,"=""615.143""","=""0.003""","=""615.139""","=""0.004""","=""36Hql*""","=""2.07e+07""",B,"=""168124.17""","=""184376.15""","=""2s2.4d""","=""2D""","=""3/2""","=""2s2.6f""","=""2F*""","=""5/2""",,"=""T7476""","=""L1176""",
C,2,"=""615.143""","=""0.003""","=""615.145""","=""0.003""","=""36Hql*""","=""2.21e+07""",B,"=""168124.37""","=""184376.19""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""7/2""",,"=""T7476""","=""L1176""",
C,2,"=""615.143""","=""0.003""","=""615.147""","=""0.003""","=""36Hql*""","=""1.4e+06""",C,"=""168124.37""","=""184376.15""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""5/2""",,"=""T10276""","=""L1176""",
V,1,"=""615.1494""","=""0.0005""","=""615.15080""","=""0.00015""","=""62000""","=""""",,"=""8578.542""","=""24830.221""","=""3d4.(5D).4s""","=""a 4D""","=""5/2""","=""3d4.(5D).4p""","=""y 6F*""","=""3/2""",,"=""""","=""L4235""",
Th,1,"=""615.15133""","=""0.00008""","=""615.151457""","=""0.000007""","=""88""","=""""",,"=""17354.638583""","=""33606.30012""","=""5f.6d.7s2""","=""3D*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L5951""",
Fe,1,"=""615.16177""","=""0.00011""","=""615.16170""","=""0.00005""","=""132""","=""1.77e+04""",B,"=""17550.181""","=""33801.572""","=""3d7.(4P).4s""","=""a 5P""","=""3""","=""3d7.(4F).4p""","=""y 5D*""","=""2""",,"=""T4187""","=""L11631""",
Ce,1,"=""615.172""","=""""","=""615.1723+""","=""""","=""23""","=""""",,"=""4160.283""","=""20411.394""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""3G*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L3475""",
Pm,1,"=""615.176""","=""""","=""""","=""""","=""400w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4514c1""",
W,1,"=""615.181""","=""""","=""615.183""","=""0.003""","=""1""","=""""",,"=""19256.24""","=""35507.07""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
Ti,2,"=""615.191""","=""""","=""615.19075""","=""0.00004""","="":""","=""5.30e-01""",D+,"=""8710.5675""","=""24961.1910""","=""3d2.(1D).4s""","=""a 2D""","=""3/2""","=""3d.4s2""","=""c 2D""","=""3/2""",M1+E2,"=""T3093""","=""L18001,L18000""",
Th,1,"=""615.199273""","=""0.000003""","=""615.199282""","=""0.000004""","=""10000bl""","=""""",,"=""7502.287636""","=""23752.68579""","=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L18702""",
Hg,2,"=""615.2002""","=""0.0003""","=""""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Xe,1,"=""615.2070""","=""0.0002""","=""615.2069+""","=""""","=""20""","=""""",,"=""78119.798""","=""94369.995""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L7292""",
Cr,1,"=""615.2080""","=""0.0013""","=""615.20796""","=""0.00015""","=""1""","=""""",,"=""33060.661""","=""49310.830""","=""3d5.(2F1).4s""","=""b 3F""","=""3""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""3""",,"=""""","=""L14866""",
V,1,"=""615.237""","=""0.005""","=""615.24442""","=""0.00015""","=""20000""","=""""",,"=""323.432""","=""16572.638""","=""3d3.4s2""","=""a 4F""","=""7/2""","=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""7/2""",,"=""""","=""L4235""",
Ta,1,"=""615.2544""","=""""","=""615.252+""","=""""","=""30""","=""""",,"=""27733.43""","=""43982.43""","=""5d3.6s.(5F).6p""","=""z 6F*""","=""9/2""","=""5d3.6s.(5F).7s""","=""e 6F""","=""7/2""",,"=""""","=""L7593,L3475""",
Si,3,"=""""","=""""","=""615.256""","=""""","=""""","=""7.05e+05""",D,"=""234387.64""","=""250636.55""","=""3s.6p""","=""1P*""","=""1""","=""3s.7d""","=""1D""","=""2""",,"=""T6298c4""","=""""",
O,2,"=""615.2566""","=""""","=""615.2560""","=""""","=""8""","=""7.14e+06""",C,"=""238732.65""","=""254981.55""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""","=""2s.2p3.(5S*).3s""","=""4S*""","=""3/2""",,"=""T5723LS""","=""L10621""",
Yb,2,"=""615.257""","=""""","=""""","=""""","=""60""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Cr,1,"=""615.271""","=""0.006""","=""615.26549""","=""0.00003""","=""10*""","=""""",,"=""27820.1975""","=""44068.8470""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""3""","=""3d5.(6S).4d""","=""e 5D""","=""3""",,"=""""","=""L808""",
Cr,1,"=""615.271""","=""0.006""","=""615.26820""","=""0.00023""","=""10*""","=""""",,"=""33935.613""","=""50184.191""","=""3d4.4s2""","=""c 3D""","=""2""","=""3d5.(4D).4p""","=""w 3D*""","=""2""",,"=""""","=""L808""",
Th,1,"=""615.2950""","=""0.0004""","=""615.296731""","=""0.000008""","=""23""","=""""",,"=""18053.617845""","=""34301.44234""","=""6d.7s2.7p""","=""3F*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L3552""",
Hf,1,"=""615.2952""","=""0.0015""","=""615.2941""","=""0.0003""","=""91""","=""""",,"=""29401.4784""","=""45649.372""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 3P*""","=""2""","=""6p2.(3P).5d.(2F).6s""","=""f 3F""","=""3""",,"=""""","=""L16323""",
Cs,1,"=""615.32381""","=""0.00005""","=""615.322982""","=""0.000010""","=""""","=""""",,"=""14596.84232""","=""30843.97365""","=""5p6.5d""","=""2D""","=""5/2""","=""5p6.14f""","=""2F*""","=""7/2""",,"=""""","=""L793""",
W,1,"=""615.372""","=""""","=""615.371""","=""0.003""","=""2w""","=""""",,"=""20427.84""","=""36673.70""","=""5d5.(4P).6s""","=""5P""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Th,1,"=""615.406832""","=""0.000007""","=""615.406824""","=""0.000004""","=""2000""","=""""",,"=""14481.86965""","=""30726.78752""","=""5f.6d.7s2""","=""3H*""","=""6""","=""5f.6d.7s.7p""","=""5I""","=""7""",,"=""""","=""L18702""",
Th,2,"=""615.4119""","=""0.0005""","=""615.41342""","=""0.00003""","=""0""","=""""",,"=""21297.41708""","=""37542.1608""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""","=""5f2.(3P).7s""","=""""","=""3/2""",,"=""""","=""L2372""",
C,3,"=""""","=""""","=""615.416""","=""""","=""""","=""1.10e+06""",B,"=""321411.31""","=""337655.98""","=""1s2.2s.4d""","=""3D""","=""1""","=""1s2.2p.(2P*).3d""","=""3D*""","=""1""",,"=""T5633LS""","=""""",
Cu,2,"=""615.42215""","=""0.00008""","=""615.42211""","=""0.00007""","=""25000""","=""1.0e+08""",D+,"=""120092.3828""","=""136336.8971""","=""3d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""","=""3d9.(2D<5/2>).5d""","=""2[1/2]""","=""1""",,"=""T9697""","=""L19804c168""",
Na,1,"=""615.42253""","=""0.00005""","=""615.42255""","=""0.00008""","=""1""","=""2.50e+06""",A,"=""16956.17025""","=""33200.673""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.5s""","=""2S""","=""1/2""",,"=""c30""","=""L15039""",
Ac,1,"=""615.4330""","=""0.0013""","=""615.4332""","=""0.0004""","=""150c""","=""1.14e+07""",B,"=""17683.869""","=""33928.090""","=""6d.7s.(3D).7p""","=""4F*""","=""7/2""","=""6d.7s.(3D).8s""","=""4D""","=""7/2""",,"=""T10463""","=""L7344""",
Fe,3,"=""615.4359""","=""0.0020""","=""615.4363""","=""0.0015""","=""170""","=""7.73e+07""",B,"=""183456.79""","=""199700.93""","=""3d5.(4G).5s""","=""3G""","=""3""","=""3d5.(4G).5p""","=""3H*""","=""4""",,"=""u44""","=""L1171""",
Th,1,"=""615.44152""","=""0.00023""","=""615.44150""","=""0.00003""","=""60""","=""""",,"=""25442.68552""","=""41686.6880""","=""""","=""*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L12239""",
Sn,1,"=""615.44455""","=""0.00015""","=""615.44463""","=""0.00017""","=""70""","=""""",,"=""39257.053""","=""55500.973""","=""5s2.5p.6s""","=""1P*""","=""1""","=""5s2.5p.7p""","=""1D""","=""2""",,"=""""","=""L3149,L7378""",
Cr,1,"=""615.4453""","=""0.0004""","=""615.44432""","=""0.00015""","=""25""","=""""",,"=""38730.6379""","=""54974.566""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d4.4s.5s""","=""e 3D""","=""2""",,"=""""","=""L9190""",
Ta,1,"=""615.4504""","=""""","=""615.449+""","=""""","=""130""","=""""",,"=""9975.81""","=""26219.62""","=""5d4.(5D).6s""","=""a 6D""","=""3/2""","=""5d2.6s2.(3P).6p""","=""z 4P*?""","=""5/2""",,"=""""","=""L7593,L3475""",
Th,1,"=""615.451604""","=""0.000015""","=""615.451617""","=""0.000004""","=""810""","=""""",,"=""9804.806547""","=""26048.54211""","=""6d3.(4F).7s""","=""5F""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L18702""",
Th,1,"=""615.4627""","=""0.0004""","=""615.461789""","=""0.000019""","=""46""","=""""",,"=""21902.26981""","=""38145.7369""","=""5f.6d2.7s""","=""3H*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Ti,2,"=""615.4664""","=""0.0003""","=""615.46617""","=""0.00006""","=""13""","=""""",,"=""65598.8926""","=""81842.2440""","=""3d2.(3F).4d""","=""f 2F""","=""7/2""","=""3d2.(3F).4f""","=""2G*""","=""9/2""",,"=""""","=""u37""",
W,1,"=""615.487""","=""""","=""615.484""","=""0.003""","=""6*""","=""""",,"=""17701.18""","=""33944.06""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""615.487""","=""""","=""615.486""","=""0.003""","=""6*""","=""""",,"=""28204.20""","=""44447.02""","=""5d5.(4F).6s""","=""5F""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
Sb,2,"=""615.4945""","=""""","=""615.50+""","=""""","=""20""","=""""",,"=""91583.2""","=""107825.6""","=""5s2.5p.6p""","=""3D""","=""3""","=""5s2.5p.7s""","=""3P*""","=""2""",,"=""""","=""L3304,L16370""",
Nd,1,"=""615.506""","=""""","=""""","=""""","=""27""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
C,3,"=""""","=""""","=""615.512""","=""""","=""""","=""1.02e+06""",B,"=""321426.74""","=""337668.89""","=""1s2.2s.4d""","=""3D""","=""2""","=""1s2.2p.(2P*).3d""","=""3D*""","=""2""",,"=""T5633LS""","=""""",
Si,1,"=""615.5134""","=""""","=""""","=""""","=""160""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
Ar,1,"=""""","=""""","=""615.52382""","=""""","=""""","=""5.1e+05""",D,"=""106237.5518""","=""122479.3820""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
Xe,2,"=""615.528""","=""""","=""615.533+""","=""""","=""1Hw-""","=""""",,"=""130063.96""","=""146305.54""","=""5s2.5p4.(1D<2>).6p""","=""2[3]*""","=""7/2""","=""5s2.5p4.(3P<1>).6d""","=""2[2]""","=""5/2""",,"=""""","=""L6925""",
Th,1,"=""615.5299""","=""0.0004""","=""615.529222""","=""0.000019""","=""92""","=""""",,"=""20566.62381""","=""36808.3114""","=""6d2.7s.7p""","=""5D*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Fe,2,"=""615.5469""","=""0.0004""","=""615.54547""","=""0.00004""","=""16""","=""7.e+04""",D,"=""86710.911""","=""102952.170""","=""3d6.(5D).4d""","=""e 4F""","=""3/2""","=""3d6.(5D<4>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Th,1,"=""615.558088""","=""0.000007""","=""615.558092""","=""0.000004""","=""2000""","=""""",,"=""7280.123222""","=""23521.04909""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L18702""",
Zr,1,"=""615.561""","=""""","=""""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
O,1,"=""""","=""""","=""615.5961""","=""""","=""""","=""7.62e+06""",B+,"=""86625.757""","=""102865.679""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""0""",,"=""T5803,LS""","=""""",
O,1,"=""615.598""","=""""","=""615.5971""","=""""","=""400""","=""5.72e+06""",B+,"=""86625.757""","=""102865.655""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""1""",,"=""T5803,LS""","=""L3760""",
O,1,"=""""","=""""","=""615.5989""","=""""","=""""","=""2.67e+06""",B+,"=""86625.757""","=""102865.606""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""2""",,"=""T5803,LS""","=""""",
Li,2,"=""""","=""""","=""611.81""","=""0.19""","=""""","=""5.1772e+06""",AAA,"=""[581595.90]""","=""[597936.4]""","=""1s.4s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Ca,1,"=""""","=""""","=""615.6023""","=""""","=""""","=""2.3e+05""",E,"=""20335.360""","=""36575.119""","=""3p6.3d.4s""","=""3D""","=""1""","=""3p6.4s.5p""","=""3P*""","=""2""",,"=""T866LS""","=""""",
Th,1,"=""615.61043""","=""0.00019""","=""615.609730""","=""0.000015""","=""67""","=""""",,"=""21165.098037""","=""37404.6616""","=""5f.6d.7s2""","=""3D*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L12239""",
Ne,1,"=""615.61380""","=""0.00040""","=""615.61394""","=""0.00005""","=""500""","=""1.72e+05""",C,"=""150772.1118""","=""167011.5643""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L4498""",
Ho,1,"=""615.638""","=""""","=""""","=""""","=""35""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ho,1,"=""615.658""","=""""","=""""","=""""","=""27""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""615.66150""","=""0.00023""","=""615.66109""","=""0.00003""","=""39""","=""""",,"=""28140.86799""","=""44379.0767""","=""""","=""*""","=""4""","=""""","=""""","=""5""",,"=""""","=""L12239""",
C,3,"=""""","=""""","=""615.669""","=""""","=""""","=""1.31e+06""",B,"=""321450.05""","=""337688.04""","=""1s2.2s.4d""","=""3D""","=""3""","=""1s2.2p.(2P*).3d""","=""3D*""","=""3""",,"=""T5633LS""","=""""",
O,1,"=""""","=""""","=""615.6737""","=""""","=""""","=""1.91e+06""",B+,"=""86627.778""","=""102865.655""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""1""",,"=""T5803,LS""","=""""",
O,1,"=""""","=""""","=""615.6755""","=""""","=""""","=""4.45e+06""",B+,"=""86627.778""","=""102865.606""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""2""",,"=""T5803,LS""","=""""",
O,1,"=""615.677""","=""""","=""615.6778""","=""""","=""450""","=""5.08e+06""",B+,"=""86627.778""","=""102865.547""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""3""",,"=""T5803,LS""","=""L3760""",
Th,1,"=""615.708769""","=""0.000011""","=""615.708776""","=""0.000003""","=""1100""","=""""",,"=""7795.275291""","=""24032.22651""","=""5f.6d.7s2""","=""3H*""","=""4""","=""5f.6d.7s.7p""","=""5G""","=""4""",,"=""""","=""L18702""",
Hg,2,"=""615.7138""","=""0.0003""","=""""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
I,1,"=""615.7141""","=""0.0020""","=""615.7132""","=""0.0014""","=""720""","=""""",,"=""65856.7962""","=""82093.63""","=""5s2.5p4.(3P<2>).6p""","=""2[1]*""","=""1/2""","=""5s2.5p4.(3P<2>).11s""","=""2[2]""","=""3/2""",,"=""""","=""L13998""",
Ti,1,"=""615.7343""","=""0.0005""","=""615.73487""","=""0.00015""","=""9""","=""""",,"=""21588.495""","=""37824.758""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""4""","=""3d2.4s.(4F).5s""","=""e 3F""","=""4""",,"=""""","=""L10989""",
Mn,5,"=""""","=""""","=""615.76""","=""""","=""""","=""2.6e-02""",E,"=""359.0""","=""16594.6""","=""3d3""","=""4F""","=""5/2""","=""3d3""","=""4P""","=""3/2""",E2,"=""T233n""","=""""",
Zr,1,"=""615.771""","=""""","=""""","=""""","=""75""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Cu,2,"=""615.7716""","=""0.0004""","=""615.77151""","=""0.00011""","=""4700""","=""""",,"=""122745.9491""","=""138981.246""","=""3d9.(2D<3/2>).5p""","=""2[5/2]*""","=""2""","=""3d9.(2D<3/2>).5d""","=""2[3/2]""","=""2""",,"=""""","=""L869c171""",
Fe,1,"=""615.77280""","=""0.00011""","=""615.77276""","=""0.00005""","=""550""","=""1.2e+06""",D,"=""32873.632""","=""49108.896""","=""3d8""","=""c 3F""","=""4""","=""3d7.(2G).4p""","=""w 3F*""","=""4""",,"=""T2578n""","=""L11631""",
V,1,"=""615.776""","=""0.002""","=""615.77879""","=""0.00007""","=""3000""","=""""",,"=""8413.009""","=""24648.114""","=""3d4.(5D).4s""","=""a 4D""","=""1/2""","=""3d4.(5D).4p""","=""z 6P*""","=""3/2""",,"=""""","=""L14162""",
Pr,2,"=""615.782""","=""""","=""615.781+""","=""""","=""22""","=""6.2e+05""",D+,"=""10163.47""","=""26398.52""","=""4f3.(4I*).5d""","=""3K*""","=""6""","=""4f3.(4I*).6p?""","=""""","=""6""",,"=""T8137""","=""L3475""",
Nd,2,"=""615.783""","=""""","=""615.7822+""","=""""","=""35""","=""""",,"=""4437.560""","=""20672.575""","=""4f4.(5I).5d""","=""6L""","=""11/2""","=""4f3.5d2""","=""4I*""","=""9/2""",,"=""""","=""L3475""",
Cu,2,"=""615.7956""","=""0.0008""","=""615.79650""","=""0.00006""","=""530""","=""""",,"=""120684.7128""","=""136919.3511""","=""3d9.(2D<5/2>).5p""","=""2[7/2]*""","=""3""","=""3d9.(2D<5/2>).5d""","=""2[5/2]""","=""3""",,"=""""","=""L869c171""",
Os,1,"=""615.803""","=""""","=""""","=""""","=""11""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Cr,2,"=""615.81319""","=""0.00002""","=""615.81315""","=""0.00011""","=""75""","=""""",,"=""89325.2787""","=""105559.4780""","=""3d4.(5D).4d""","=""e 4G""","=""9/2""","=""3d4.(5D<3>).4f""","=""2[6]*""","=""11/2""",,"=""""","=""L18847""",
O,1,"=""""","=""""","=""615.8149""","=""""","=""""","=""5.07e+05""",B+,"=""86631.454""","=""102865.606""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""2""",,"=""T5803,LS""","=""""",
O,1,"=""""","=""""","=""615.8172""","=""""","=""""","=""2.54e+06""",B+,"=""86631.454""","=""102865.547""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""3""",,"=""T5803,LS""","=""""",
O,1,"=""615.818""","=""""","=""615.8187""","=""""","=""490""","=""7.62e+06""",B+,"=""86631.454""","=""102865.506""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""4""",,"=""T5803,LS""","=""L3760""",
Cr,2,"=""615.818849""","=""0.000019""","=""615.81885""","=""0.00011""","=""80""","=""""",,"=""89508.4990""","=""105742.5481""","=""3d4.(5D).4d""","=""e 4G""","=""11/2""","=""3d4.(5D<4>).4f""","=""2[7]*""","=""13/2""",,"=""""","=""L18847""",
Co,2,"=""615.81949""","=""0.00008""","=""615.81953""","=""0.00015""","=""220""","=""1.9e+05""",D,"=""95976.579""","=""112210.61""","=""3d7.(4F).5p""","=""5F*""","=""4""","=""3d7.(4F).5d""","=""5H""","=""5""",,"=""T6999""","=""L9429c118""",
Dy,1,"=""615.828""","=""""","=""""","=""""","=""24""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Hg,2,"=""615.8303""","=""0.0003""","=""""","=""""","=""1000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Cs,3,"=""615.8366""","=""0.0003""","=""615.8366""","=""0.0003""","=""83000""","=""7.90e+07""",,"=""208758.432""","=""224992.013""","=""5s2.5p4.(3P<2>).7p""","=""2[2]*""","=""5/2""","=""5s2.5p4.(3P<2>).7d""","=""2[3]""","=""7/2""",,"=""T8611""","=""L14869""",
Th,1,"=""615.8391""","=""0.0005""","=""615.839779""","=""0.000019""","=""3""","=""""",,"=""24259.77463""","=""40493.2719""","=""""","=""*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L12239""",
Cr,2,"=""615.86184""","=""0.00002""","=""615.86183""","=""0.00011""","=""54""","=""""",,"=""89173.9920""","=""105406.9081""","=""3d4.(5D).4d""","=""e 4G""","=""7/2""","=""3d4.(5D<2>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L18847""",
Ra,2,"=""615.873""","=""0.008""","=""615.880""","=""0.007""","=""1""","=""""",,"=""50606.29""","=""66838.72""","=""8p""","=""2P*""","=""1/2""","=""10s""","=""2S""","=""1/2""",,"=""""","=""L3526c162""",
Fe,3,"=""615.8794""","=""0.0020""","=""615.8814""","=""0.0015""","=""71""","=""""",,"=""185061.51""","=""201293.91""","=""3d5.(4P).5s""","=""5P""","=""1""","=""3d5.(4P).5p""","=""5S*""","=""2""",,"=""""","=""L1171""",
Th,1,"=""615.8829""","=""0.0004""","=""615.882290""","=""0.000008""","=""11""","=""""",,"=""18069.065569""","=""34301.44234""","=""6d.7s2.7p""","=""1F*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L3552""",
Ta,1,"=""615.8841""","=""""","=""615.883+""","=""""","=""40""","=""""",,"=""17383.12""","=""33615.49""","=""5d3.6s2""","=""a 2F""","=""7/2""","=""""","=""336*""","=""9/2""",,"=""""","=""L7593,L3475""",
Sr,1,"=""615.8951""","=""0.0005""","=""615.8943""","=""0.0003""","=""350""","=""""",,"=""20149.685""","=""36381.746""","=""5s.4d""","=""1D""","=""2""","=""4d.5p""","=""3D*""","=""2""",,"=""""","=""L4447""",
Ti,1,"=""615.8961""","=""0.0005""","=""615.89609""","=""0.00015""","=""6""","=""""",,"=""17423.856""","=""33655.869""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d3.(4F).4p""","=""w 3F*""","=""2""",,"=""""","=""L10989""",
Th,2,"=""615.9060""","=""0.0003""","=""615.90499""","=""0.00003""","=""30""","=""""",,"=""20158.73957""","=""36390.5180""","=""6d3""","=""2D2""","=""5/2""","=""6d2.(3F).7p""","=""*""","=""3/2""",,"=""""","=""L12239""",
