element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,1,"=""450.25906""","=""0.00006""","=""450.25907""","=""0.00005""","=""620""","=""1.2e+05""",E,"=""28819.954""","=""51023.162""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""x 3H*""","=""6""",,"=""T2578n""","=""L11631""",
Ar,2,"=""450.29265""","=""0.00003""","=""450.29272""","=""0.00004""","=""42""","=""""",,"=""172829.6539""","=""195031.2028""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Nb,1,"=""450.304""","=""""","=""""","=""""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Cr,1,"=""450.304""","=""0.003""","=""450.3091""","=""0.0020""","=""12""","=""8.3e+06""",D,"=""37883.4010""","=""60084.14""","=""3d5.(6S).5s""","=""e 5S""","=""2""","=""3d4.(3P1).4s.4p.(1P*)""","=""x 3S*""","=""1""",,"=""T3963""","=""L808""",
Ar,2,"=""450.308""","=""0.002""","=""450.308810""","=""0.000006""","=""1h""","=""""",,"=""159393.3850""","=""181594.1404""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""5/2""",,"=""""","=""L14821""",
Hf,1,"=""450.3095""","=""0.0007""","=""450.30893""","=""0.00014""","=""630""","=""""",,"=""23448.6227""","=""45649.372""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""3""","=""6p2.(3P).5d.(2F).6s""","=""f 3F""","=""3""",,"=""""","=""L16323""",
W,1,"=""450.3136""","=""""","=""450.3156""","=""0.0016""","=""3""","=""""",,"=""33291.80""","=""55492.22""","=""5d5.(2I).6s""","=""1I""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L153""",
Mn,2,"=""450.320""","=""0.0015""","=""450.3195""","=""0.0006""","=""10""","=""""",,"=""48317.83""","=""70518.06""","=""3d5.(2H).4s""","=""b 3H""","=""4""","=""3d5.(4G).4p""","=""z 3G*""","=""3""",,"=""""","=""L562""",
Th,1,"=""450.32133""","=""0.00006""","=""450.321383""","=""0.000008""","=""25""","=""""",,"=""15618.98461""","=""37819.1202""","=""5f.6d2.7s""","=""5H*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L5951""",
Sm,1,"=""450.338""","=""""","=""""","=""""","=""240""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Xe,3,"=""450.341""","=""0.005""","=""450.342+""","=""""","=""14a""","=""""",,"=""161809.98""","=""184009.10""","=""5s2.5p3.(2D*).5d""","=""1D*""","=""2""","=""5s2.5p3.(2P*).6p""","=""1D""","=""2""",,"=""""","=""L10579""",
Na,2,"=""450.3693""","=""0.0003""","=""""","=""""","=""130""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L914""",
Al,4,"=""450.374""","=""""","=""450.371""","=""""","=""40""","=""""",,"=""801882.3""","=""824080.0""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""",,"=""""","=""L2829""",
Ti,1,"=""450.3757""","=""0.0002""","=""450.37574""","=""0.00010""","=""81""","=""""",,"=""17215.390""","=""39412.846""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""5""","=""3d3.(4F).5s""","=""f 5F""","=""5""",,"=""""","=""L10989""",
Rh,1,"=""450.378""","=""""","=""450.3773""","=""""","=""29""","=""""",,"=""14787.87""","=""36985.25""","=""4d7.5s2""","=""b 4F""","=""7/2""","=""4d8.(3P).5p""","=""y 4D*""","=""5/2""",,"=""""","=""L3475""",
Mn,1,"=""""","=""""","=""450.3874""","=""""","=""""","=""8.3e+06""",E,"=""37420.24""","=""59617.12""","=""3d6.(3G).4s""","=""b 4G""","=""11/2""","=""3d6.(3H).4p""","=""z 2I*""","=""13/2""",,"=""T1117""","=""""",
Cr,1,"=""450.391""","=""0.003""","=""450.3932""","=""0.0012""","=""2""","=""""",,"=""42515.3342""","=""64711.93""","=""3d5.(4G).4p""","=""z 5G*""","=""2""","=""3d4.4s.5s""","=""e 5H""","=""3""",,"=""""","=""L808""",
Fe,2,"=""450.3932""","=""0.0003""","=""450.39244""","=""0.00003""","=""5""","=""""",,"=""100749.825""","=""122946.458""","=""3d6.(3F2).5s""","=""e 2F""","=""5/2""","=""3d6.(3H<6>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c139""",
Sc,2,"=""450.3954""","=""""","=""450.3941""","=""""","=""0d""","=""""",,"=""67743.72""","=""89940.27""","=""3p6.3d.5p""","=""1F*""","=""3""","=""3p6.4s.4d""","=""1D""","=""2""",,"=""""","=""L5141""",
Hf,1,"=""450.4010""","=""0.0011""","=""450.39989""","=""0.00022""","=""42""","=""""",,"=""20908.462""","=""43104.728""","=""5d3.(b 4P).6s""","=""a 5P""","=""2""","=""5d2.(b 1D).6s.(b 2D).6p""","=""v 3F*""","=""3""",,"=""""","=""L16323""",
W,1,"=""450.4133""","=""""","=""450.4140""","=""0.0016""","=""30""","=""""",,"=""24610.88""","=""46806.45""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Th,1,"=""450.42499""","=""0.00008""","=""450.424917""","=""0.000020""","=""15""","=""""",,"=""17224.302340""","=""39419.3351""","=""6d2.7s.7p""","=""5F*""","=""2""","=""""","=""""","=""1""",,"=""""","=""L5951""",
Th,1,"=""450.42688""","=""0.00006""","=""450.426884""","=""0.000018""","=""33""","=""""",,"=""23306.82782""","=""45501.7637""","=""5f.6d2.7s""","=""3I*""","=""6""","=""""","=""""","=""6 or 7""",,"=""""","=""L5951""",
Hf,1,"=""450.4328""","=""0.0007""","=""450.4331""","=""0.0003""","=""170""","=""""",,"=""23327.739""","=""45522.369""","=""5d3.(b 4F).6s""","=""b 3F""","=""2""","=""""","=""4552*""","=""3""",,"=""""","=""L16323""",
Ba,1,"=""450.4348""","=""""","=""450.4348+""","=""""","=""5""","=""""",,"=""13514.745""","=""35709.289""","=""6s.6p""","=""3P*""","=""2""","=""6s.7d""","=""3D""","=""1""",,"=""""","=""L9224""",
Th,1,"=""450.44622""","=""0.00008""","=""450.446253""","=""0.000010""","=""16""","=""""",,"=""20566.62381""","=""42760.6053""","=""6d2.7s.7p""","=""5D*""","=""4""","=""""","=""""","=""5""",,"=""""","=""L5951""",
Na,4,"=""""","=""""","=""450.5""","=""0.3""","=""""","=""2.10e+04""",D,"=""550186.""","=""572379.5""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""",,"=""T7663c11""","=""""",
Ac,2,"=""""","=""""","=""450.3357""","=""0.0008""","=""""","=""1.8e+00""",E,"=""0.00""","=""22199.428""","=""7s2""","=""1S""","=""0""","=""6d2""","=""1D""","=""2""",E2,"=""T10463""","=""""",
Th,1,"=""450.46306""","=""0.00003""","=""450.463055""","=""0.000008""","=""200""","=""""",,"=""17501.17592""","=""39694.3296""","=""5f.6d2.7s""","=""5I*""","=""5""","=""5f.6d2.7p ""","=""5I""","=""5""",,"=""""","=""L5951""",
Ar,8,"=""450.47""","=""0.04""","=""450.43""","=""0.12""","=""""","=""""",,"=""1059616.""","=""1081811.""","=""2p6.9s""","=""2S""","=""1/2""","=""2p6.10p""","=""2P*""","=""3/2""",,"=""""","=""L11180""",
B,3,"=""450.481""","=""0.003""","=""450.481""","=""0.004""","=""45*""","=""""",,"=""244199.74""","=""266391.99""","=""1s2.4f""","=""2F*""","=""7/2""","=""1s2.5d""","=""2D""","=""5/2""",,"=""""","=""L482""",
B,3,"=""450.481""","=""0.003""","=""450.482""","=""0.004""","=""45*""","=""""",,"=""244199.12""","=""266391.36""","=""1s2.4f""","=""2F*""","=""5/2""","=""1s2.5d""","=""2D""","=""3/2""",,"=""""","=""L482""",
Fe,1,"=""450.48303""","=""0.00016""","=""450.48304""","=""0.00003""","=""427""","=""2.8e+05""",D,"=""26339.696""","=""48531.865""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""2""","=""3d7.(4F).5s""","=""e 3F""","=""3""",,"=""T2578n""","=""L11631""",
W,1,"=""450.4838""","=""""","=""450.4840""","=""0.0016""","=""60""","=""7.0e+05""",B,"=""12161.96""","=""34354.08""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""3""",,"=""T4976""","=""L153""",
Mo,1,"=""450.4901""","=""""","=""450.4902+""","=""""","=""120""","=""4.3e+05""",B,"=""25997.337""","=""48189.154""","=""4d5.(4F).5s""","=""a 5F""","=""4""","=""4d5.(2I).5p""","=""y 3H*""","=""5""",,"=""T5293""","=""L10250,L3475""",
Pu,2,"=""450.491""","=""""","=""""","=""""","=""10000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""u1""",
Sm,2,"=""450.505""","=""""","=""""","=""""","=""180""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ca,3,"=""450.5131""","=""0.0018""","=""450.5127""","=""0.0014""","=""31""","=""1.09e+07""",B,"=""328588.76""","=""350779.47""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""","=""3s2.3p5.(2P*<1/2>).4f""","=""2[7/2]""","=""3""",,"=""u33""","=""L1405""",
V,4,"=""450.517""","=""""","=""450.51+""","=""""","=""1""","=""2.6e+07""",D,"=""263608.3""","=""285798.9""","=""3p6.3d.4f""","=""3F*""","=""3""","=""3p6.3d.5d""","=""3F""","=""2""",,"=""T2757""","=""L147""",
Th,1,"=""450.521668""","=""0.000006""","=""450.521665""","=""0.000004""","=""1400""","=""""",,"=""8800.249723""","=""30990.51628""","=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L18702""",
Cr,1,"=""450.522""","=""0.003""","=""450.52176""","=""0.00003""","=""1""","=""""",,"=""25038.4981""","=""47228.7599""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""5""",,"=""""","=""L808""",
K,2,"=""450.533""","=""0.003""","=""450.525""","=""0.006""","=""6bl*""","=""8.27e+04""",,"=""215014.6""","=""237204.7""","=""3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""3p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""T8304""","=""L12188""",
K,2,"=""450.533""","=""0.003""","=""450.539""","=""0.003""","=""6bl*""","=""6.16e+07""",,"=""164492.0""","=""186681.4""","=""3p5.3d""","=""3P*""","=""1""","=""3p5.4p""","=""3D""","=""2""",,"=""T8304""","=""L12188""",
Sr,4,"=""450.5396""","=""0.002""","=""450.5378""","=""0.0014""","=""4w""","=""""",,"=""382897.81""","=""405087.28""","=""4s2.4p4.(3P<2>).5g""","=""2[4]""","=""9/2""","=""4s2.4p4.(3P<2>).6h""","=""2[4]*""","=""9/2""",,"=""""","=""L4311""",
Th,1,"=""450.54480""","=""0.00020""","=""450.544268""","=""0.000010""","=""7""","=""""",,"=""15863.88829""","=""38053.0416""","=""6d3.(2D2).7s""","=""""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L3552""",
Ti,1,"=""450.5487""","=""0.0002""","=""450.54882""","=""0.00020""","=""7""","=""""",,"=""25092.958""","=""47281.887""","=""3d3.(2F).4s""","=""3F""","=""2""","=""3d3.(2F).4p""","=""p 3F*""","=""3""",,"=""""","=""L10989""",
Cr,1,"=""450.549""","=""0.003""","=""450.5519""","=""0.0022""","=""1""","=""""",,"=""31352.3828""","=""53541.16""","=""3d5.(4F).4s""","=""a 5F""","=""1""","=""3d4.4s.5p""","=""s 5D*""","=""2""",,"=""""","=""L808""",
Th,1,"=""450.56058""","=""0.00005""","=""450.560634""","=""0.000014""","=""44""","=""""",,"=""14465.221873""","=""36653.5692""","=""6d2.7s.7p""","=""5G*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L5951""",
Ti,1,"=""450.5707""","=""0.0002""","=""450.57098""","=""0.00010""","=""11""","=""""",,"=""16961.442""","=""39149.280""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d3.(4F).5s""","=""f 5F""","=""2""",,"=""""","=""L10989""",
Cr,1,"=""450.588""","=""0.006""","=""450.5971""","=""0.0008""","=""1wh""","=""""",,"=""42564.7783""","=""64751.33""","=""3d5.(4G).4p""","=""z 5G*""","=""4""","=""3d4.4s.5s""","=""e 5H""","=""4""",,"=""""","=""L808""",
Ba,1,"=""450.5924""","=""""","=""450.5924+""","=""""","=""209""","=""1.1e+08""",E,"=""12636.623""","=""34823.406""","=""6s.6p""","=""3P*""","=""1""","=""6p2""","=""3P""","=""1""",,"=""T4515""","=""L9224""",
Y,1,"=""450.5948""","=""""","=""450.59441""","=""0.00003""","=""500""","=""1.01e+08""",B+,"=""11078.614""","=""33265.298""","=""4d2.(3F).5s""","=""a 4F""","=""5/2""","=""4d2.(3F).5p""","=""y 4D*""","=""3/2""",,"=""T9421""","=""L7610,L3475""",
Cr,2,"=""450.59483""","=""0.00012""","=""450.59473""","=""0.00006""","=""9bl(Cr I)""","=""""",,"=""95076.7096""","=""117263.378""","=""3d4.(5D).5p""","=""4D*""","=""5/2""","=""3d4.(5D).6d""","=""4D""","=""7/2""",,"=""""","=""L18847""",
Cu,2,"=""450.59982""","=""0.00008""","=""450.59996""","=""0.00004""","=""11000""","=""6.3e+05""",C,"=""66418.6849""","=""88605.096""","=""3d9.4p""","=""3P*""","=""2""","=""3d8.4s2""","=""3P""","=""1""",,"=""T1922,T5092""","=""L19804c168,c175""",
Ne,7,"=""""","=""""","=""450.6""","=""1.6""","=""""","=""1.34e+07""",B,"=""1172350""","=""1194538""","=""1s2.2p.3p""","=""3P""","=""2""","=""1s2.2p.3d""","=""3D*""","=""3""",,"=""T5633c91,LS""","=""""",
Be,3,"=""""","=""""","=""450.511""","=""0.018""","=""""","=""1.0372e+05""",AAA,"=""[1179526.10]""","=""[1201716.90]""","=""1s.4f""","=""1F*""","=""3""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""450.511""","=""0.018""","=""""","=""1.0891e+06""",AAA,"=""[1179526.10]""","=""[1201716.90]""","=""1s.4f""","=""1F*""","=""3""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""450.511""","=""0.018""","=""""","=""3.8520e+06""",AAA,"=""[1179526.10]""","=""[1201716.90]""","=""1s.4f""","=""3F*""","=""4""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""450.511""","=""0.018""","=""""","=""2.6393e+06""",AAA,"=""[1179526.10]""","=""[1201716.90]""","=""1s.4f""","=""3F*""","=""3""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""450.511""","=""0.018""","=""""","=""4.1943e+06""",AAA,"=""[1179526.10]""","=""[1201716.90]""","=""1s.4f""","=""3F*""","=""2""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""450.511""","=""0.018""","=""""","=""2.2916e+05""",AAA,"=""[1179526.10]""","=""[1201716.90]""","=""1s.4f""","=""3F*""","=""3""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""450.511""","=""0.018""","=""""","=""4.6586e+05""",AAA,"=""[1179526.10]""","=""[1201716.90]""","=""1s.4f""","=""3F*""","=""2""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""450.511""","=""0.018""","=""""","=""9.5111e+03""",AAA,"=""[1179526.10]""","=""[1201716.90]""","=""1s.4f""","=""3F*""","=""2""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
Th,2,"=""450.6071""","=""0.0003""","=""450.607646""","=""0.000016""","=""22""","=""""",,"=""17272.25153""","=""39458.2840""","=""5f.6d.(3G*).7s""","=""2G*""","=""9/2""","=""5f2.(3F).6d""","=""""","=""7/2""",,"=""""","=""L2372""",
Cr,1,"=""450.608""","=""0.006""","=""450.6075""","=""0.0024""","=""2wh""","=""""",,"=""31355.1192""","=""53541.16""","=""3d5.(4F).4s""","=""a 5F""","=""2""","=""3d4.4s.5p""","=""s 5D*""","=""2""",,"=""""","=""L808""",
V,1,"=""450.60809""","=""0.00015""","=""450.60806""","=""0.00018""","=""130000""","=""""",,"=""14514.756""","=""36700.768""","=""3d3.4s2""","=""2D2""","=""3/2""","=""3d3.(4P).4s.4p.(3P*)""","=""x 2D*""","=""5/2""",,"=""""","=""L15916""",
V,1,"=""450.6186""","=""0.0004""","=""450.61842""","=""0.00006""","=""61000""","=""""",,"=""22313.832""","=""44499.334""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4G*""","=""11/2""","=""3d3.4s.(5F).4d""","=""4F""","=""9/2""",,"=""""","=""L15916""",
Gd,1,"=""450.621""","=""""","=""""","=""""","=""430""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Mn,5,"=""""","=""""","=""450.631""","=""""","=""""","=""1.6e-01""",E,"=""40423.3""","=""62608.2""","=""3d3""","=""2F""","=""7/2""","=""3d3""","=""2D1""","=""5/2""",M1,"=""T233""","=""""",
Mn,5,"=""""","=""""","=""450.631""","=""""","=""""","=""5.4e-01""",E,"=""40423.3""","=""62608.2""","=""3d3""","=""2F""","=""7/2""","=""3d3""","=""2D1""","=""5/2""",E2,"=""T233n""","=""""",
Th,1,"=""450.63160""","=""0.00006""","=""450.631600""","=""0.000006""","=""29""","=""""",,"=""14243.993748""","=""36428.8469""","=""5f.6d.7s2""","=""3P*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L5951""",
Ti,1,"=""450.6321""","=""0.0002""","=""450.63303""","=""0.00008""","=""""","=""""",,"=""20006.039""","=""42190.8217""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d2.4s.4d""","=""3P""","=""1""",,"=""""","=""L9190""",
Gd,2,"=""450.633""","=""""","=""""","=""""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ce,1,"=""450.641""","=""""","=""450.64129+""","=""""","=""100""","=""5.8e+06""",B+,"=""0.000""","=""22184.376""","=""4f.5d.6s2""","=""1G*""","=""4""","=""""","=""""","=""5""",,"=""T8748""","=""L3475""",
Th,1,"=""450.647297""","=""0.000016""","=""450.647299""","=""0.000004""","=""890""","=""""",,"=""7502.287636""","=""29686.36795""","=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Th,1,"=""450.654800""","=""0.000022""","=""450.654803""","=""0.000010""","=""350""","=""""",,"=""12114.36618""","=""34298.0771""","=""5f.6d.7s2""","=""1D*""","=""2""","=""""","=""""","=""1""",,"=""""","=""L5951""",
Br,3,"=""450.655""","=""""","=""""","=""""","=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L773""",
Th,1,"=""450.65704""","=""0.00004""","=""450.657087""","=""0.000005""","=""67""","=""""",,"=""10526.544406""","=""32710.14290""","=""5f.6d.7s2""","=""3G*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L5951""",
V,1,"=""450.65734""","=""0.00018""","=""450.65726""","=""0.00004""","=""46000""","=""""",,"=""17116.947""","=""39300.537""","=""3d4.(3G).4s""","=""a 4G""","=""7/2""","=""3d4.(3F2).4p""","=""u 4F*""","=""5/2""",,"=""""","=""L15916""",
Nd,2,"=""450.6582""","=""""","=""450.6583+""","=""""","=""200""","=""2.48e+06""",B+,"=""513.330""","=""22696.870""","=""4f4.(5I).6s""","=""6I""","=""9/2""","=""4f3.5d2""","=""4I*""","=""11/2""",,"=""T7685""","=""L3260,L3475""",
Th,1,"=""450.66356""","=""0.00006""","=""450.663570""","=""0.000012""","=""21""","=""""",,"=""16346.64962""","=""38529.9290""","=""5f.6d2.7s""","=""5H*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L5951""",
O,3,"=""""","=""""","=""450.6640""","=""""","=""""","=""8.07e+06""",C+,"=""379293.03""","=""401476.29""","=""2s2.2p.(2P*).4d""","=""3D*""","=""2""","=""2s.2p2.(4P).3d""","=""3F""","=""3""",,"=""T5376LS""","=""""",
Hf,1,"=""450.6669""","=""0.0010""","=""450.66588""","=""0.00012""","=""630""","=""""",,"=""19292.6984""","=""41475.864""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5G*""","=""3""","=""6p2.(3P).5d.(4F).6s""","=""c 5F""","=""3""",,"=""""","=""L16323""",
Cs,3,"=""450.67209""","=""0.00013""","=""450.67197""","=""0.00011""","=""720000""","=""1.44e+07""",,"=""138464.327""","=""160647.193""","=""5s2.5p4.(3P<2>).5d""","=""2[3]""","=""5/2""","=""5s2.5p4.(3P<2>).6p""","=""2[2]*""","=""3/2""",,"=""T8611""","=""L14869""",
Ti,2,"=""450.67398""","=""0.00016""","=""450.67371""","=""0.00003""","=""""","=""1.6e+04""",D,"=""9118.2849""","=""31301.0653""","=""3d3""","=""a 2G""","=""9/2""","=""3d2.(3F).4p""","=""z 4F*""","=""9/2""",,"=""T4502""","=""L9190""",
Cr,1,"=""450.68389""","=""0.00006""","=""450.68388""","=""0.00005""","=""48""","=""2.7e+07""",D,"=""33762.6622""","=""55944.942""","=""3d5.(2I).4s""","=""b 1I""","=""6""","=""3d5.(2I).4p""","=""y 1H*""","=""5""",,"=""T1621n""","=""L14866""",
Pm,1,"=""450.684""","=""""","=""""","=""""","=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4514c1""",
Cs,2,"=""450.68537""","=""0.00003""","=""450.685341""","=""0.000024""","=""16000""","=""""",,"=""129998.9106""","=""152181.1184""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""""","=""L12126""",
Sb,2,"=""450.692""","=""""","=""450.68+""","=""""","=""12""","=""""",,"=""69535.7""","=""91718.0""","=""5s2.5p.6s""","=""3P*""","=""1""","=""5s2.5p.6p""","=""3P""","=""2""",,"=""""","=""L3304,L16370""",
Na,2,"=""450.6972""","=""0.0003""","=""450.697""","=""0.003""","=""200""","=""""",,"=""331745.06""","=""353926.69""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L914""",
Re,1,"=""450.704""","=""""","=""""","=""""","=""120c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Sr,4,"=""450.7060""","=""0.002""","=""450.7056""","=""0.0014""","=""10""","=""""",,"=""337047.44""","=""359228.65""","=""4s2.4p4.(3P<0>).5d""","=""2[2]""","=""3/2""","=""4s2.4p4.(3P<1>).6p""","=""2[2]*""","=""3/2""",,"=""""","=""L4311""",
Xe,2,"=""450.711""","=""""","=""450.712+""","=""""","=""5h""","=""""",,"=""127010.80""","=""149191.69""","=""5s2.5p4.(1D<2>).5d""","=""2[1]""","=""1/2""","=""5s2.5p4.(1S<0>).6p""","=""2[1]*""","=""3/2""",,"=""""","=""L6925""",
Ti,3,"=""450.7112""","=""""","=""450.712+""","=""""","=""5""","=""""",,"=""147749.89""","=""169930.80""","=""3p6.3d.5p""","=""3D*""","=""2""","=""3p6.3d.6s""","=""3D""","=""2""",,"=""""","=""L3593""",
Zr,1,"=""450.712""","=""""","=""""","=""""","=""550""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Tm,1,"=""""","=""""","=""450.7129+""","=""""","=""""","=""4.6e+05""",C+,"=""15587.811""","=""37768.662""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",,"=""T6708""","=""""",
Ac,2,"=""450.7200""","=""0.0009""","=""450.7194""","=""0.0006""","=""30000cl""","=""2.13e+07""",B,"=""0.00""","=""22180.533""","=""7s2""","=""1S""","=""0""","=""7s.7p""","=""3P*""","=""1""",,"=""T9296""","=""L7344""",
Fe,1,"=""450.7213""","=""0.0003""","=""450.72151""","=""0.00005""","=""79""","=""""",,"=""25091.599""","=""47272.027""","=""3d7.(2P).4s""","=""c 3P""","=""0""","=""3d7.(4P).4p""","=""w 3D*""","=""1""",,"=""""","=""L11631""",
S,1,"=""""","=""""","=""450.73113""","=""0.00004""","=""""","=""4.87e-03""",D,"=""0.0000""","=""22179.9542""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p4""","=""1S""","=""0""",E2,"=""T8595,T7942c84""","=""""",
Cu,1,"=""450.735""","=""0.006""","=""450.742""","=""0.008""","=""200h""","=""""",,"=""44963.26""","=""67142.68""","=""3d9.(2D).4s.4p.(3P*)""","=""2F*""","=""7/2""","=""3d9.4s.(1D).5s""","=""2D""","=""5/2""",,"=""""","=""L772""",
Th,2,"=""450.74988""","=""0.00020""","=""450.75089""","=""0.00003""","=""13""","=""""",,"=""34212.0250""","=""56391.0070""","=""6d.7s.(3D).7p""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",,"=""""","=""L12239""",
N,2,"=""""","=""""","=""450.7560""","=""""","=""""","=""7.39e+06""",D,"=""166678.64""","=""188857.37""","=""2s2.2p.3p""","=""3D""","=""3""","=""2s2.2p.3d""","=""3P*""","=""2""",,"=""T7333""","=""""",
Fe,2,"=""450.76253""","=""0.00012""","=""450.763229""","=""0.000024""","=""70""","=""""",,"=""84685.245""","=""106863.620""","=""3d6.(5D).4d""","=""f 4D""","=""7/2""","=""3d6.(5D).6p""","=""4D*""","=""7/2""",,"=""""","=""L18349c145""",
Th,1,"=""450.76390""","=""0.00020""","=""450.763777""","=""0.000012""","=""7""","=""""",,"=""14204.26476""","=""36382.6128""","=""6d3.(2G).7s""","=""""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L3552""",
As,2,"=""450.7659""","=""""","=""""","=""""","=""850""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L820""",
Cr,1,"=""450.794""","=""0.008""","=""450.793""","=""0.003""","=""4w*""","=""""",,"=""31364.2327""","=""53541.16""","=""3d5.(4F).4s""","=""a 5F""","=""3""","=""3d4.4s.5p""","=""s 5D*""","=""2""",,"=""""","=""L808""",
Cr,1,"=""450.794""","=""0.008""","=""450.79643""","=""0.00006""","=""4w*""","=""""",,"=""36577.6545""","=""58754.396""","=""3d5.(2F2).4s""","=""d 3F""","=""4""","=""3d5.(2H).4p""","=""t 3H*""","=""5""",,"=""""","=""L808""",
Th,1,"=""450.803561""","=""0.000020""","=""450.803573""","=""0.000006""","=""440""","=""""",,"=""11241.73043""","=""33418.1206""","=""5f.6d.7s2""","=""3F*""","=""3""","=""6d4""","=""""","=""4""",,"=""""","=""L5951""",
